Cifras absolutas y relativas;Sexo;Edad;Horas de sueño al día;Total
CIFRAS ABSOLUTAS;Ambos sexos;Total;Total;41.923,5
CIFRAS ABSOLUTAS;Ambos sexos;Total;Menos de 6 horas;2.908,1
CIFRAS ABSOLUTAS;Ambos sexos;Total;Seis o siete horas;14.696,3
CIFRAS ABSOLUTAS;Ambos sexos;Total;Ocho o nueve horas;18.539,7
CIFRAS ABSOLUTAS;Ambos sexos;Total;Diez o más horas;5.779,4
CIFRAS ABSOLUTAS;Ambos sexos;De 0 a 4 años;Total;1.740,3
CIFRAS ABSOLUTAS;Ambos sexos;De 0 a 4 años;Menos de 6 horas;6,5
CIFRAS ABSOLUTAS;Ambos sexos;De 0 a 4 años;Seis o siete horas;41,9
CIFRAS ABSOLUTAS;Ambos sexos;De 0 a 4 años;Ocho o nueve horas;296,7
CIFRAS ABSOLUTAS;Ambos sexos;De 0 a 4 años;Diez o más horas;1.395,2
CIFRAS ABSOLUTAS;Ambos sexos;De 5 a 15 años;Total;4.821,8
CIFRAS ABSOLUTAS;Ambos sexos;De 5 a 15 años;Menos de 6 horas;11,3
CIFRAS ABSOLUTAS;Ambos sexos;De 5 a 15 años;Seis o siete horas;181,4
CIFRAS ABSOLUTAS;Ambos sexos;De 5 a 15 años;Ocho o nueve horas;2.666,7
CIFRAS ABSOLUTAS;Ambos sexos;De 5 a 15 años;Diez o más horas;1.962,4
CIFRAS ABSOLUTAS;Ambos sexos;De 16 a 24 años;Total;4.973,0
CIFRAS ABSOLUTAS;Ambos sexos;De 16 a 24 años;Menos de 6 horas;79,1
CIFRAS ABSOLUTAS;Ambos sexos;De 16 a 24 años;Seis o siete horas;1.377,9
CIFRAS ABSOLUTAS;Ambos sexos;De 16 a 24 años;Ocho o nueve horas;2.964,8
CIFRAS ABSOLUTAS;Ambos sexos;De 16 a 24 años;Diez o más horas;551,2
CIFRAS ABSOLUTAS;Ambos sexos;De 25 a 34 años;Total;7.181,7
CIFRAS ABSOLUTAS;Ambos sexos;De 25 a 34 años;Menos de 6 horas;255,2
CIFRAS ABSOLUTAS;Ambos sexos;De 25 a 34 años;Seis o siete horas;2.848,1
