personas,17541141
varones,8607537
mujeres,8933604
fecha,fallecidos,terapia,casos_dx,diagnosticos,internados,casos_fis,casos_fis_ajustada,casos_fa
2020-01-01,0,0,2,15,0,10,10,0
2020-01-02,0,0,2,2,0,18,18,0
2020-01-03,0,0,0,0,0,8,8,0
2020-01-04,0,0,2,5,0,9,9,0
2020-01-05,0,0,0,0,0,3,3,0
2020-01-06,0,0,3,16,0,6,6,0
2020-01-07,0,0,0,2,0,4,4,0
2020-01-08,0,0,0,1,0,6,6,0
2020-01-09,0,0,0,0,0,1,1,0
2020-01-10,0,0,0,6,0,4,4,0
2020-01-11,0,0,0,0,0,3,3,0
2020-01-12,0,0,0,4,0,2,2,0
2020-01-13,0,0,0,0,0,2,2,0
2020-01-14,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,3,3,0
2020-01-16,0,0,0,0,0,5,5,0
2020-01-17,0,0,0,0,0,1,1,0
2020-01-18,0,0,1,1,0,3,3,0
2020-01-19,0,0,10,42,0,2,2,0
2020-01-20,0,0,0,1,0,0,0,0
2020-01-21,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,2,2,0
2020-01-23,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,3,3,0
2020-01-26,0,0,0,0,0,8,8,0
2020-01-27,0,0,0,5,0,5,5,0
2020-01-28,0,0,0,0,0,8,8,0
2020-01-29,0,0,1,1,0,4,4,0
2020-01-30,0,0,1,7,0,8,8,0
2020-01-31,0,0,0,0,0,9,9,0
2020-02-01,0,0,0,1,0,2,2,0
2020-02-02,0,0,0,0,0,2,2,0
2020-02-03,0,0,0,1,0,0,0,0
2020-02-04,0,0,0,0,0,1,1,0
2020-02-05,0,0,0,0,0,2,2,0
2020-02-06,0,0,0,0,0,2,2,0
2020-02-07,0,0,0,1,0,5,5,0
2020-02-08,0,0,0,0,0,2,2,0
2020-02-09,0,0,0,0,0,4,4,0
2020-02-10,0,0,0,0,0,5,5,0
2020-02-11,0,0,0,0,0,1,1,0
2020-02-12,0,0,0,2,0,1,1,0
2020-02-13,0,0,0,0,0,3,3,0
2020-02-14,0,0,0,0,0,1,1,0
2020-02-15,0,0,0,0,0,1,1,0
2020-02-16,0,0,0,0,0,1,1,0
2020-02-17,0,0,0,0,0,2,2,0
2020-02-18,0,0,0,0,0,1,1,0
2020-02-19,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,1,0,2,2,0
2020-02-21,0,0,0,0,0,5,5,0
2020-02-22,0,0,0,0,0,5,5,0
2020-02-23,0,0,0,0,0,1,1,0
2020-02-24,0,0,0,0,0,1,1,0
2020-02-25,0,0,0,8,0,2,2,0
2020-02-26,0,0,0,0,0,8,8,0
2020-02-27,0,0,0,3,0,9,9,0
2020-02-28,0,0,0,4,0,2,2,0
2020-02-29,0,0,0,0,0,4,4,0
2020-03-01,0,0,0,0,0,2,2,0
2020-03-02,0,0,0,4,0,4,4,0
2020-03-03,0,0,0,3,1,4,4,0
2020-03-04,0,0,0,2,1,0,0,1
2020-03-05,0,0,0,1,1,5,5,0
2020-03-06,0,0,1,3,0,6,6,2
2020-03-07,0,0,0,1,4,1,1,1
2020-03-08,0,1,0,5,1,7,7,0
2020-03-09,0,1,1,5,4,8,8,3
2020-03-10,0,0,1,5,2,11,11,2
2020-03-11,0,0,1,9,4,5,5,3
2020-03-12,0,1,5,11,3,21,21,8
2020-03-13,0,1,1,20,8,13,13,11
2020-03-14,0,1,2,22,5,20,20,3
2020-03-15,0,0,0,17,9,19,19,7
2020-03-16,0,1,3,28,3,25,25,10
2020-03-17,0,1,3,35,14,29,31,13
2020-03-18,0,3,10,53,16,26,31,13
2020-03-19,0,1,11,27,7,33,34,11
2020-03-20,0,1,8,48,17,38,38,20
2020-03-21,1,2,14,76,15,37,35,23
2020-03-22,0,4,10,40,19,36,31,28
2020-03-23,0,1,9,55,22,40,40,27
2020-03-24,2,3,31,84,11,31,31,27
2020-03-25,0,2,42,158,23,33,33,35
2020-03-26,3,1,35,113,16,34,36,32
2020-03-27,0,3,25,89,27,42,42,28
2020-03-28,1,3,12,68,24,26,26,28
2020-03-29,1,4,19,131,20,24,27,25
2020-03-30,1,9,22,142,31,43,47,33
2020-03-31,0,6,21,122,25,41,42,26
2020-04-01,2,3,30,204,18,40,41,29
2020-04-02,3,5,31,307,36,56,53,43
2020-04-03,3,2,32,454,28,44,39,45
2020-04-04,1,5,32,385,23,31,33,36
2020-04-05,5,6,14,284,16,26,38,13
2020-04-06,3,4,31,334,23,35,38,44
2020-04-07,4,2,17,435,14,38,41,36
2020-04-08,5,4,24,422,22,52,57,39
2020-04-09,2,2,20,419,18,64,55,41
2020-04-10,3,2,43,444,22,56,59,41
2020-04-11,2,7,18,331,24,59,67,45
2020-04-12,2,2,35,305,24,66,65,48
2020-04-13,2,3,23,427,25,68,74,78
2020-04-14,1,3,63,570,25,63,62,47
2020-04-15,5,2,51,635,33,76,70,66
2020-04-16,4,1,42,656,24,76,83,66
2020-04-17,3,4,35,707,41,79,97,79
2020-04-18,4,3,59,604,29,88,95,56
2020-04-19,3,4,27,450,33,69,81,53
2020-04-20,2,4,49,770,47,129,133,111
2020-04-21,4,1,62,1007,27,100,83,134
2020-04-22,7,3,59,857,32,86,84,93
2020-04-23,5,4,69,852,39,84,90,132
2020-04-24,6,5,78,954,23,93,89,120
2020-04-25,6,4,81,886,26,91,100,62
2020-04-26,5,3,30,506,23,91,115,52
2020-04-27,7,3,68,759,29,92,69,112
2020-04-28,5,3,63,1047,32,84,80,110
2020-04-29,4,2,90,977,32,76,62,90
2020-04-30,6,2,51,880,24,110,92,113
2020-05-01,7,0,48,811,27,75,89,43
2020-05-02,1,8,38,604,24,73,92,67
2020-05-03,7,1,31,387,14,74,95,41
2020-05-04,2,4,46,863,26,106,117,89
2020-05-05,3,6,78,967,25,115,118,84
2020-05-06,7,2,60,823,32,99,80,116
2020-05-07,7,3,61,828,29,101,97,115
2020-05-08,4,3,74,853,36,115,113,100
2020-05-09,6,5,57,779,31,107,112,62
2020-05-10,6,3,39,430,21,142,154,57
2020-05-11,7,5,58,848,54,148,160,141
2020-05-12,2,5,90,1066,39,154,157,138
2020-05-13,5,3,96,994,58,157,160,130
2020-05-14,10,2,94,1028,31,173,222,154
2020-05-15,9,3,98,1117,52,200,201,160
2020-05-16,3,5,120,940,60,253,278,150
2020-05-17,3,4,53,592,49,220,293,137
2020-05-18,8,5,156,1213,82,352,360,254
2020-05-19,6,6,155,1502,76,276,315,244
2020-05-20,5,12,196,1412,106,355,353,268
