Año,Mes,Operador,Motivo de reclamo,Número de reclamos
2019,10,AMX Argentina S.A. (Claro),Facturación,13
2019,10,AMX Argentina S.A. (Claro),Gestiones Administrativas,10
2019,10,AMX Argentina S.A. (Claro),Otros,6
2019,10,AMX Argentina S.A. (Claro),Problemas Técnicos,8
2019,10,Arnet S.A.,Problemas Técnicos,3
2019,10,Fibertel S.A. (TCI),Facturación,6
2019,10,Fibertel S.A. (TCI),Gestiones Administrativas,2
2019,10,Fibertel S.A. (TCI),Problemas Técnicos,4
2019,10,Movistar - Telefonica Moviles Argentina S.A.,Facturación,43
2019,10,Movistar - Telefonica Moviles Argentina S.A.,Gestiones Administrativas,21
2019,10,Movistar - Telefonica Moviles Argentina S.A.,Otros,34
2019,10,Movistar - Telefonica Moviles Argentina S.A.,Problemas Técnicos,20
2019,10,Otros,Facturación,11
2019,10,Otros,Gestiones Administrativas,9
2019,10,Otros,Otros,6
2019,10,Otros,Problemas Técnicos,31
2019,10,SION S.A.,Gestiones Administrativas,1
2019,10,SION S.A.,Problemas Técnicos,2
2019,10,TELECENTRO S.A.,Facturación,4
2019,10,TELECENTRO S.A.,Gestiones Administrativas,15
2019,10,TELECENTRO S.A.,Otros,1
2019,10,TELECENTRO S.A.,Problemas Técnicos,30
2019,10,Telecom Argentina S.A.,Facturación,92
2019,10,Telecom Argentina S.A.,Gestiones Administrativas,127
2019,10,Telecom Argentina S.A.,Otros,27
2019,10,Telecom Argentina S.A.,Problemas Técnicos,326
2019,10,Telefonica de Argentina S.A.,Facturación,60
2019,10,Telefonica de Argentina S.A.,Gestiones Administrativas,199
2019,10,Telefonica de Argentina S.A.,Otros,5
2019,10,Telefonica de Argentina S.A.,Problemas Técnicos,398
2019,9,Advance Telecomunicaciones S.A. (Speedy),Gestiones Administrativas,1
2019,9,Advance Telecomunicaciones S.A. (Speedy),Problemas Técnicos,1
2019,9,AMX Argentina S.A. (Claro),Facturación,20
2019,9,AMX Argentina S.A. (Claro),Gestiones Administrativas,9
2019,9,AMX Argentina S.A. (Claro),Otros,9
2019,9,AMX Argentina S.A. (Claro),Problemas Técnicos,5
2019,9,Fibertel S.A. (TCI),Gestiones Administrativas,1
