Marca temporal,Qué edad tenés?,Cuántas horas dormís al día? en promedio,Estudiás y/o trabajás,Tomás bebidas energizantes?,Has pasado días sin dormir?
23/05/2023 12:52:27,entre 15 y 25 años,8 o más horas,Estudio y trabajo,Nunca,Regulamente
23/05/2023 12:53:10,entre 15 y 25 años,de 4 a 5,Estudio y trabajo,Nunca,Regulamente
23/05/2023 12:54:57,entre 15 y 25 años,de 6 a 7,Estudio y trabajo,Nunca,Regulamente
23/05/2023 12:55:30,entre 15 y 25 años,de 6 a 7,Estudio y trabajo,Algunas veces,Nunca
23/05/2023 12:57:15,entre 15 y 25 años,de 6 a 7,Estudio y trabajo,Nunca,Algunas veces
23/05/2023 12:57:16,entre 15 y 25 años,8 o más horas,Estudio y trabajo,Nunca,Algunas veces
23/05/2023 12:57:16,entre 15 y 25 años,menos de 4,Estudio y trabajo,Algunas veces,Algunas veces
23/05/2023 12:58:12,entre 15 y 25 años,de 6 a 7,Solo estudio,Regulamente,Algunas veces
23/05/2023 12:58:34,entre 15 y 25 años,8 o más horas,Estudio y trabajo,Algunas veces,Algunas veces
23/05/2023 12:59:00,entre 15 y 25 años,8 o más horas,Solo estudio,Nunca,Algunas veces
23/05/2023 12:59:19,entre 15 y 25 años,8 o más horas,Estudio y trabajo,Regulamente,Nunca
23/05/2023 12:59:20,entre 15 y 25 años,8 o más horas,Solo estudio,Nunca,Nunca
23/05/2023 12:59:43,entre 15 y 25 años,de 6 a 7,Estudio y trabajo,Algunas veces,Nunca
23/05/2023 13:01:25,entre 15 y 25 años,de 6 a 7,Solo estudio,Algunas veces,Algunas veces
23/05/2023 13:04:10,entre 15 y 25 años,de 6 a 7,Estudio y trabajo,Nunca,Algunas veces
23/05/2023 13:05:05,entre 15 y 25 años,8 o más horas,Estudio y trabajo,Algunas veces,Nunca
23/05/2023 13:05:45,entre 15 y 25 años,8 o más horas,Estudio y trabajo,Nunca,Nunca
23/05/2023 13:07:08,entre 15 y 25 años,de 6 a 7,Solo estudio,Nunca,Nunca
23/05/2023 13:07:27,entre 15 y 25 años,8 o más horas,Solo estudio,Nunca,Nunca
23/05/2023 13:08:49,entre 15 y 25 años,de 6 a 7,Solo estudio,Nunca,Nunca
23/05/2023 13:10:29,entre 15 y 25 años,8 o más horas,Solo estudio,Algunas veces,Algunas veces
23/05/2023 13:17:27,entre 15 y 25 años,de 6 a 7,Estudio y trabajo,Nunca,Algunas veces
23/05/2023 13:27:13,entre 15 y 25 años,8 o más horas,Estudio y trabajo,Nunca,Nunca
23/05/2023 13:27:28,entre 15 y 25 años,de 6 a 7,Solo estudio,Nunca,Algunas veces
23/05/2023 13:30:10,entre 15 y 25 años,de 6 a 7,Estudio y trabajo,Algunas veces,Algunas veces
23/05/2023 13:33:11,entre 15 y 25 años,de 6 a 7,Estudio y trabajo,Algunas veces,Algunas veces
23/05/2023 13:33:32,entre 15 y 25 años,de 6 a 7,Solo estudio,Nunca,Algunas veces
23/05/2023 13:37:39,entre 15 y 25 años,de 4 a 5,Solo estudio,Nunca,Regulamente
23/05/2023 13:41:06,entre 15 y 25 años,8 o más horas,Solo estudio,Nunca,Regulamente
23/05/2023 13:49:02,entre 15 y 25 años,de 6 a 7,Solo estudio,Nunca,Algunas veces
23/05/2023 13:53:24,entre 15 y 25 años,de 4 a 5,Estudio y trabajo,Nunca,Regulamente
23/05/2023 14:14:24,entre 15 y 25 años,8 o más horas,Solo estudio,Nunca,Nunca
23/05/2023 14:15:19,entre 15 y 25 años,de 6 a 7,Solo estudio,Nunca,Nunca
23/05/2023 14:17:19,entre 15 y 25 años,de 6 a 7,Solo estudio,Algunas veces,Algunas veces
23/05/2023 14:24:51,entre 15 y 25 años,8 o más horas,Solo estudio,Nunca,Algunas veces
23/05/2023 14:36:43,entre 15 y 25 años,de 6 a 7,Solo estudio,Algunas veces,Algunas veces
23/05/2023 15:23:35,entre 15 y 25 años,de 6 a 7,Solo estudio,Algunas veces,Algunas veces
23/05/2023 15:36:01,entre 15 y 25 años,8 o más horas,Solo estudio,Nunca,Algunas veces
23/05/2023 15:37:04,entre 15 y 25 años,de 6 a 7,Solo estudio,Algunas veces,Nunca
23/05/2023 16:14:37,entre 15 y 25 años,de 6 a 7,Solo estudio,Nunca,Algunas veces
23/05/2023 17:09:32,entre 15 y 25 años,de 4 a 5,Estudio y trabajo,Algunas veces,Algunas veces
23/05/2023 17:12:10,entre 15 y 25 años,de 4 a 5,Solo estudio,Regulamente,Algunas veces
23/05/2023 17:28:04,entre 15 y 25 años,de 6 a 7,Solo estudio,Nunca,Nunca
23/05/2023 17:39:08,entre 15 y 25 años,de 4 a 5,Solo estudio,Algunas veces,Algunas veces
23/05/2023 17:40:10,entre 15 y 25 años,menos de 4,Estudio y trabajo,Algunas veces,Algunas veces
23/05/2023 17:52:34,entre 15 y 25 años,de 6 a 7,Solo estudio,Regulamente,Regulamente
23/05/2023 18:03:15,entre 15 y 25 años,8 o más horas,Solo estudio,Algunas veces,Nunca
23/05/2023 18:06:21,entre 15 y 25 años,8 o más horas,Solo estudio,Nunca,Algunas veces
23/05/2023 18:15:55,entre 15 y 25 años,8 o más horas,Estudio y trabajo,Algunas veces,Algunas veces
23/05/2023 18:18:20,entre 15 y 25 años,8 o más horas,Solo estudio,Nunca,Nunca
23/05/2023 18:23:36,entre 15 y 25 años,8 o más horas,Solo estudio,Algunas veces,Algunas veces
23/05/2023 18:25:01,entre 15 y 25 años,8 o más horas,Solo estudio,Algunas veces,Algunas veces
23/05/2023 18:25:33,entre 15 y 25 años,menos de 4,Solo estudio,Nunca,Algunas veces
23/05/2023 19:35:39,entre 15 y 25 años,de 6 a 7,Estudio y trabajo,Nunca,Algunas veces
23/05/2023 20:14:55,entre 15 y 25 años,de 6 a 7,Estudio y trabajo,Algunas veces,Algunas veces
23/05/2023 20:20:35,entre 15 y 25 años,de 6 a 7,Estudio y trabajo,Algunas veces,Nunca
23/05/2023 20:21:34,entre 15 y 25 años,8 o más horas,Estudio y trabajo,Algunas veces,Nunca
23/05/2023 20:23:07,entre 15 y 25 años,de 6 a 7,Solo estudio,Algunas veces,Algunas veces
23/05/2023 20:26:44,entre 15 y 25 años,de 6 a 7,Solo estudio,Nunca,Nunca
23/05/2023 20:31:45,entre 15 y 25 años,de 4 a 5,Solo estudio,Algunas veces,Algunas veces
23/05/2023 20:51:26,entre 15 y 25 años,8 o más horas,Solo estudio,Nunca,Nunca
23/05/2023 20:51:43,entre 15 y 25 años,8 o más horas,Solo estudio,Algunas veces,Algunas veces
23/05/2023 21:39:38,entre 15 y 25 años,de 6 a 7,Estudio y trabajo,Algunas veces,Nunca
23/05/2023 21:51:25,entre 15 y 25 años,8 o más horas,Solo estudio,Nunca,Nunca
23/05/2023 23:15:23,entre 15 y 25 años,8 o más horas,Solo estudio,Nunca,Nunca
24/05/2023 12:43:42,entre 15 y 25 años,de 6 a 7,Estudio y trabajo,Algunas veces,Nunca
24/05/2023 23:19:39,entre 15 y 25 años,8 o más horas,Solo estudio,Algunas veces,Algunas veces
25/05/2023 2:17:09,entre 15 y 25 años,de 6 a 7,Estudio y trabajo,Nunca,Algunas veces
25/05/2023 12:36:24,entre 15 y 25 años,de 6 a 7,Solo estudio,Algunas veces,Algunas veces
27/05/2023 15:03:04,entre 15 y 25 años,de 6 a 7,Solo trabajo,Nunca,Nunca
29/05/2023 10:18:54,entre 15 y 25 años,8 o más horas,Solo estudio,Nunca,Nunca
30/05/2023 7:21:26,entre 15 y 25 años,de 6 a 7,Solo estudio,Nunca,Algunas veces
7/08/2023 16:34:03,entre 15 y 25 años,de 6 a 7,Estudio y trabajo,Nunca,Nunca
7/08/2023 16:54:50,entre 15 y 25 años,de 6 a 7,Solo estudio,Nunca,Nunca
23/05/2023 13:03:55,entre 26 y 35 años,8 o más horas,Estudio y trabajo,Algunas veces,Regulamente
23/05/2023 13:06:55,entre 26 y 35 años,de 6 a 7,Estudio y trabajo,Nunca,Nunca
23/05/2023 13:07:49,entre 26 y 35 años,de 4 a 5,Estudio y trabajo,Nunca,Regulamente
23/05/2023 13:08:09,entre 26 y 35 años,de 6 a 7,Estudio y trabajo,Algunas veces,Algunas veces
23/05/2023 13:13:58,entre 26 y 35 años,de 6 a 7,Estudio y trabajo,Nunca,Nunca
23/05/2023 13:18:28,entre 26 y 35 años,de 6 a 7,Estudio y trabajo,Nunca,Algunas veces
23/05/2023 18:02:40,entre 26 y 35 años,de 6 a 7,Estudio y trabajo,Nunca,Algunas veces
