FID,row_number,idserv,clave,cueanexo,nombre,id_modalidad,modalidad,id_nivel,nivel,id_periodo,periodo,calle,nro,calle_lateral_derecha,calle_lateral_izquierda,id_localidad,localidad,codigo_postal,id_distrito,distrito,region,region_educativa,categoria,depend_func,caracteristica_telefonica,nro_telefono,rpv,email,desfavorabilidad,subvencion,id_ubicacion,ubicacion,id_sector,sector,id_dependencia,dependencia,id_tipo_organizacion,tipo_organizacion,matricula,varones,mujeres,secciones,turnos,capa,area,seccion_electoral,sede_axo_ext,esc_sede,cue,anexo,nro_escuela,latitud,longitud,cui,the_geom
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60de,247,209,0001PP0001,060882200,"ESCUELA DE EDUCACIÓN PRIMARIA Nº1 ""FRANCISCO A. BERRA""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,8 Y 57,1201,,,504,LA PLATA,1900,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,483-4053,21259,esc.primaria1lp@gmail.com,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,719,383,336,24,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,608822,0,0001,-34.91991674,-57.9457005,600101236,POINT (-57.94570050236973 -34.91991673976192)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60dd,248,210,0001PP0002,060881800,"ESCUELA DE EDUCACIÓN PRIMARIA Nº2 ""PROF. ANDRES FERREYRA""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,9 E/ 47 Y 48,777,48,47,504,LA PLATA,1900,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,421-3505,21051,mlmz_3@hotmail.com,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,417,219,198,14,"""DOBLE ESCOLARIDAD""",2,INTERIOR,8,SEDE,,608818,0,0002,-34.9154873,-57.95397263,600101695,POINT (-57.95397263382355 -34.91548729539863)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60dc,249,211,0001PP0003,060886200,"ESCUELA DE EDUCACIÓN PRIMARIA Nº3 ""HILARIA O. DE CORREBO""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,52,S/N,208,207,491,ANGEL ETCHEVERRY,1901,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,496-2983,69042,mlpitteri@gmail.com,2,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,487,249,238,20,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,608862,0,0003,-35.01038589,-58.05172954,600102528,POINT (-58.051729537033424 -35.01038588894932)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60db,250,212,0001PP0005,060286400,"ESCUELA DE EDUCACIÓN PRIMARIA Nº5 ""CORONEL DE MARINA TOMAS ESPORA""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,PLAZA ADOLFO ALSINA (E/ 37 Y 38),85,,,504,LA PLATA,1900,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,421-5849,21069,pp001005@abc.gov.ar,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,602,319,283,24,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,602864,0,0005,-34.90023917,-57.95678342,600100886,POINT (-57.95678342440909 -34.90023916779965)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60da,251,213,0001PP0006,060924000,"ESCUELA DE EDUCACIÓN PRIMARIA Nº6 ""A. BLASCO DE SELVA""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,236 (E/ 496 Y 498) RUTA 2 KM. 52,3512,498,496,490,ABASTO,1903,001,La Plata,01,Región I,Segunda,Dirección Provincial de Educación Primaria,0221,491-3216,,escuelaprimaria6@gmail.com,2,Oficial,3,Rural Disperso,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,194,96,98,6,MAÑANA,2,INTERIOR,8,SEDE,,609240,0,0006,-34.99016122,-58.13511686,600102299,POINT (-58.1351168598712 -34.99016122103711)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60d9,252,214,0001PP0007,060931700,"ESCUELA DE EDUCACIÓN PRIMARIA Nº7 ""FRAGATA LA ARGENTINA""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,36 E/ 120 Y 121,41,121,120,504,LA PLATA,1900,001,La Plata,01,Región I,Segunda,Dirección Provincial de Educación Primaria,0221,422-3753,34000,noojeda1@abc.gob.ar,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,143,76,67,8,"""DOBLE ESCOLARIDAD""",2,INTERIOR,8,SEDE,,609317,0,0007,-34.89188703,-57.95087823,600101454,POINT (-57.95087822584295 -34.891887029059355)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60d8,253,215,0001PP0008,060296400,"ESCUELA DE EDUCACIÓN PRIMARIA Nº8 ""DOMINGO FAUSTINO SARMIENTO""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,DIAG. 74 (E/ 57 Y 16),S/N,,,504,LA PLATA,1900,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,451-2767,,campanonemariana@gmail.com,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,673,278,395,26,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,602964,0,0008,-34.92701376,-57.95451802,600101477,POINT (-57.954518024081125 -34.92701376037302)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60d7,254,216,0001PP0009,060314900,"ESCUELA DE EDUCACIÓN PRIMARIA Nº9 ""PROF. JUAN JAUREGUI""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,7 Y 643,S/N,642,643,504,LA PLATA,1900,001,La Plata,01,Región I,Segunda,Dirección Provincial de Educación Primaria,0221,491-0522,21351,juanfpp009@gmail.com,2,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,366,196,170,12,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,603149,0,0009,-34.9785387,-57.86542237,600102309,POINT (-57.86542237453744 -34.97853869940104)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60d6,255,217,0001PP0010,060623300,"ESCUELA DE EDUCACIÓN PRIMARIA Nº10 ""DR. RICARDO GUTIERREZ""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,16 E/ DIAG. 73 Y 48,S/N,48,DIAG 73,503,LA CUMBRE,1900,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,421-1616,21039,escuelagutierrez303@gmail.com,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,1070,531,539,36,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,606233,0,0010,-34.92197073,-57.96098532,600100510,POINT (-57.960985315113895 -34.921970727463425)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60d5,256,218,0001PP0011,060898400,"ESCUELA DE EDUCACIÓN PRIMARIA Nº11 ""FLORENTINO AMEGHINO""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,12 E/ 67 Y 68,S/N,67,68,504,LA PLATA,1900,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,451-9436,21190,ep11florentinoameghino@hotmail.com,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,638,335,303,24,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,608984,0,0011,-34.93195783,-57.93771198,600101262,POINT (-57.93771198088998 -34.931957828911735)
