"idempresa","empresa","direccion","localidad","provincia","idproducto","producto","precio","fecha_vigencia","empresabandera","fecha"
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$124.90,"14/03/2022 00:00","YPF",202203
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$124.90,"14/03/2022 00:00","YPF",202203
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$112.50,02/02/22 12:00 AM,"YPF",202202
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$112.50,02/02/22 12:00 AM,"YPF",202202
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$10.40,"16/05/2021 00:00","YPF",202105
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$102.40,"16/05/2021 00:00","YPF",202105
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$102.40,"16/05/2021 00:10","YPF",202105
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$97.20,"17/04/2021 00:00","YPF",202104
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$97.20,"17/04/2021 00:00","YPF",202104
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$91.40,"16/03/2021 00:00","YPF",202103
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$91.40,"16/03/2021 00:00","YPF",202103
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$82.70,01/02/21 12:00 AM,"YPF",202102
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$82.70,01/02/21 12:00 AM,"YPF",202102
