id_tema,tema,nro_comentario,palabra,resaltada_apostrofe,resaltada_comilla,empiezaMay,tipoPagina,catLongPal,terminacion,palAntTipo,raiz,estitulo
1,thread de estudiantes de economia,1,esta,NO,NO,NO,indice ,largo,or,preposicion,esta,NO        
1,thread de estudiantes de economia,1,esta,NO,NO,NO,indice ,largo,or,preposicion,esta,NO        
1,thread de estudiantes de economia,1,esta,NO,NO,NO,indice ,largo,or,preposicion,esta,NO        
2,thread estudiantes economia,2,carrera,NO,NO,NO,indice ,medio ,or,preposicion,carrer,NO        
2,thread estudiantes economia,2,buen,NO,NO,NO,indice ,largo,or,preposicion,buen,NO        
2,thread estudiantes economia,2,carrera,NO,NO,NO,indice ,medio ,or,preposicion,carrer,NO        
2,thread estudiantes economia,2,buen,NO,NO,NO,indice ,largo,or,preposicion,buen,NO        
2,thread estudiantes economia,2,carrera,NO,NO,NO,indice ,medio ,or,preposicion,carrer,NO        
2,thread estudiantes economia,2,buen,NO,NO,NO,indice ,largo,or,preposicion,buen,NO        
3,pocagente Ulima,3,Universidad,NO,NO,SI,indice ,corto,or,preposicion,univers,NO        
3,pocagente Ulima,3,de,NO,NO,NO,indice ,largo,or,preposicion,de,NO        
3,pocagente Ulima,3,mejores,NO,NO,NO,indice ,medio ,or,preposicion,mejor,NO        
5,thread de lo estudiantes de economia,5,esta,NO,NO,NO,indice ,largo,or,preposicion,esta,NO        
8,threads deestudiantes de economia,8,libro,NO,NO,NO,indice ,largo,or,preposicion,libr,NO        
10,thread de estudiantes de economia,10,que,NO,NO,NO,indice ,largo,or,preposicion,que,NO        
10,thread de estudiantes de economia,10,conceptos,NO,NO,NO,indice ,medio ,or,preposicion,concept,NO        
10,thread de estudiantes de economia,10,que,NO,NO,NO,indice ,largo,er,preposicion,que,NO        
10,thread de estudiantes de economia,10,capte,NO,NO,NO,indice ,largo,er,preposicion,capt,NO        
10,thread de estudiantes de economia,10,la,NO,NO,NO,indice ,largo,er,preposicion,la,NO        
10,thread de estudiantes de economia,10,primera,NO,NO,NO,indice ,medio ,er,preposicion,primer,NO        
24,"_x000D__x000D_Costo,pago y becas en Academias, Institutos o Universidades", 24,decirnos,NO,NO,NO,indice ,medio ,or,preposicion,decirn,NO        
24,"_x000D__x000D_Costo,pago y becas en Academias, Institutos o Universidades",24,mensualidad,NO,NO,NO,indice ,corto,or,preposicion,mensualid,NO        
24,"_x000D__x000D_Costo,pago y becas en Academias, Institutos o Universidades",24,las,NO,NO,NO,indice ,largo,or,preposicion,las,NO        
24,"_x000D__x000D_Costo,pago y becas en Academias, Institutos o Universidades",24,personas,NO,NO,NO,indice ,medio ,or,preposicion,person,NO        
24,"_x000D__x000D_Costo,pago y becas en Academias, Institutos o Universidades",24,su,NO,NO,NO,indice ,largo,ar,preposicion,su,NO        
23,thread de estudiantes de economia,23,una,NO,NO,NO,indice ,largo,on,preposicion,una,NO        
23,thread de estudiantes de economia,23,buena,NO,NO,NO,indice ,largo,on,preposicion,buen,NO        
23,thread de estudiantes de economia,23,lo,NO,NO,NO,indice ,largo,on,preposicion,lo,NO        
23,thread de estudiantes de economia,23,que,NO,NO,NO,indice ,largo,on,preposicion,que,NO        
23,thread de estudiantes de economia,23,U,NO,NO,SI,indice ,largo,on,preposicion,U,NO        
40,"_x000D__x000D_Costo,pago y becas en Academias, Institutos o Universidades",40,particulares,NO,NO,NO,indice ,corto,or,preposicion,particular,NO        
40,"_x000D__x000D_Costo,pago y becas en Academias, Institutos o Universidades",40,eso,NO,NO,NO,indice ,largo,on,preposicion,eso,NO        
42,"_x000D__x000D_Costo,pago y becas en Academias, Institutos o Universidades",42,UCH,NO,NO,SI,indice ,largo,or,preposicion,uch,NO        
45,educacion del futuro,44,capitulo,NO,NO,NO,indice ,medio ,er,preposicion,capitul,NO        
45,educacion del futuro,44,historia,NO,NO,NO,indice ,medio ,er,preposicion,histori,NO        
45,educacion del futuro,44,humanidad,NO,NO,NO,indice ,medio ,er,preposicion,humanid,NO        
45,educacion del futuro,44,partir,NO,NO,NO,indice ,medio ,ir,preposicion,part,NO        
45,educacion del futuro,44,pensamiento,NO,NO,NO,indice ,corto,ir,preposicion,pensamient,NO        
45,educacion del futuro,44,pueblito,NO,NO,NO,indice ,medio ,ir,preposicion,pueblit,NO        
45,educacion del futuro,44,Andes,NO,NO,SI,indice ,largo,ir,preposicion,andes,NO        
45,educacion del futuro,44,menos,NO,NO,NO,indice ,largo,on,preposicion,menos,NO        
45,educacion del futuro,44,mas,NO,NO,NO,indice ,largo,on,preposicion,mas,NO        
45,educacion del futuro,45,revista,NO,NO,NO,indice ,medio ,or,preposicion,revist,NO        
45,educacion del futuro,45,Universidad,NO,NO,SI,indice ,corto,or,preposicion,univers,NO        
45,educacion del futuro,45,creación,NO,NO,NO,indice ,medio ,or,preposicion,creacion,NO        
45,educacion del futuro,45,mejores,NO,NO,NO,indice ,medio ,or,preposicion,mejor,NO        
45,educacion del futuro,45,mas,NO,NO,NO,indice ,largo,or,preposicion,mas,NO        
45,educacion del futuro,45,comprobante,NO,NO,NO,indice ,corto,or,preposicion,comprobant,NO        
45,educacion del futuro,45,revalidar,NO,NO,NO,indice ,medio ,ar,preposicion,revalid,NO        
45,educacion del futuro,45,cursos,NO,NO,NO,indice ,medio ,ar,preposicion,curs,NO        
45,educacion del futuro,45,Universidades,NO,NO,SI,indice ,corto,ar,preposicion,univers,NO        
45,educacion del futuro,45,convenio,NO,NO,NO,indice ,medio ,ar,preposicion,conveni,NO        
45,educacion del futuro,45,estas,NO,NO,NO,indice ,largo,on,preposicion,estas,NO        
45,educacion del futuro,45,solventan),NO,NO,NO,indice ,medio ,on,preposicion,solventan),NO        
45,educacion del futuro,45,sus,NO,NO,NO,indice ,largo,on,preposicion,sus,NO        
45,educacion del futuro,45,hilo,NO,NO,NO,indice ,largo,or,preposicion,hilo,NO        
46,educacion del futuro,46,universidad,NO,NO,NO,indice ,corto,or,preposicion,univers,NO        
48,educacion del futuro,48,boom,NO,SI,NO,indice ,largo,or,preposicion,boom,NO        
48,educacion del futuro,48,negocio,NO,NO,NO,indice ,medio ,or,preposicion,negoci,NO        
50,educacion del futuro,50,educación,NO,NO,NO,indice ,medio ,or,preposicion,educacion,NO        
53,educacion del futuro,53,universidad,NO,NO,NO,indice ,corto,or,preposicion,univers,NO        
53,educacion del futuro,53,individuo,NO,NO,NO,indice ,medio ,or,preposicion,individu,NO        
53,educacion del futuro,53,a,NO,NO,NO,indice ,largo,or,preposicion,a,SI        
53,educacion del futuro,53,conseguir,NO,NO,NO,indice ,medio ,ir,preposicion,consegu,NO        
53,educacion del futuro,53,manuela,NO,NO,NO,indice ,medio ,on,preposicion,manuel,NO        
53,educacion del futuro,53,caso,NO,NO,NO,indice ,largo,on,preposicion,caso,NO        
53,educacion del futuro,53,conseguir,NO,NO,NO,indice ,medio ,ir,preposicion,consegu,NO        
53,educacion del futuro,53,calle,NO,NO,NO,indice ,largo,ir,preposicion,call,NO        
53,educacion del futuro,53,universidad,NO,NO,NO,indice ,corto,ir,preposicion,univers,NO        
53,educacion del futuro,53,futuro,NO,NO,NO,indice ,medio ,ir,preposicion,futur,SI        
54,educacion del futuro,54,agradeceria,NO,NO,NO,indice ,corto,on,preposicion,agradeceri,NO        
