track_name,track_artist,track_popularity,track_album_name,track_album_release_date,playlist_name,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
SILHOUETTE,Lorn,34,REMNANT,2018-09-05,Electropop And Play,pop,electropop,0.0985,0.0958,1,-18.209,0,0.0364,0.721,0.853,0.0982,0.0276,87.92,233275
stakra,Ryuichi Sakamoto,18,async,2017-04-28,Electropop And Play,pop,electropop,0.118,0.404,4,-16.686,0,0.0427,0.92,0.882,0.113,0.228,86.959,221192
Somewhere Tonight,Beach House,33,Thank Your Lucky Stars,2015-10-16,Music&Other Drugs,pop,indie poptimism,0.135,0.312,7,-11.607,1,0.0304,0.452,0.936,0.175,0.0827,173.782,253960
It's Happening Again,Agnes Obel,52,Citizen of Glass,2016-10-21,Deep-deep Bubble Pop,pop,indie poptimism,0.143,0.311,10,-14.221,1,0.031,0.812,0.36,0.606,0.0892,173.317,260493
Wait For Life,Emile Haynie,0,We Fall,2015-02-24,Deep-deep Bubble Pop,pop,indie poptimism,0.178,0.478,5,-5.927,1,0.0396,0.954,0.00585,0.125,0.0841,167.301,292280
Mother Earth,BANKS,0,The Altar,2016-09-30,Deep-deep Bubble Pop,pop,indie poptimism,0.199,0.347,4,-8.739,1,0.0294,0.127,0,0.123,0.194,175.175,236400
You're Dead Wrong,Mayday Parade,43,Mayday Parade (Deluxe Edition),2011-10-03,Pop Punk | Post-Hardcore,pop,post-teen pop,0.204,0.77,7,-2.528,1,0.042,0.00698,0,0.338,0.326,77.096,239120
Streams,Austin & Lindsey Adamec,31,Streams,2018-06-01,Christian Dance Party,pop,dance pop,0.206,0.733,2,-5.817,1,0.0378,0.485,0,0.107,0.439,74.744,240995
Fix You,Coldplay,81,X&Y,2005-06-07,ELECTROPOPı,pop,electropop,0.209,0.418,3,-8.74,1,0.0338,0.163,0.00195,0.113,0.123,138.265,295533
Wait for You,Innerbloom,42,Wait for You,2019-11-26,The Edge of Indie Poptimism,pop,indie poptimism,0.213,0.693,5,-4.868,1,0.0492,0.615,0.000108,0.192,0.134,165.571,240000
Song To The Siren (Remastered),This Mortal Coil,51,It'll End In Tears (Remastered),1984,"Maxi Pop  GOLD (New Wave, Electropop, Synth Pop...)",pop,electropop,0.216,0.24,10,-12.598,1,0.0406,0.843,6.09E-06,0.135,0.0875,128.679,211093
La Bella Y La Bestia,Marta Martorell,37,La Bella y La Bestia (Edici³n Especial/Banda Sonora Original),2002-01-01,Post teen pop,pop,post-teen pop,0.225,0.0917,5,-20.384,0,0.0385,0.916,0.000914,0.153,0.152,86.34,163840
Open Over Us (Live),Meredith Andrews,50,Open Over Us (Live),2019-02-08,Christian Dance Party,pop,dance pop,0.225,0.501,3,-8.296,1,0.0341,0.112,0,0.0685,0.111,143.912,452389
When You See My Friends,Mayday Parade,44,Mayday Parade (Deluxe Edition),2011-10-03,Pop Punk | Post-Hardcore,pop,post-teen pop,0.228,0.753,1,-4.132,1,0.037,0.00149,0,0.108,0.291,170.878,214573
Wake Me Up,Foreign Air,49,Wake Me Up,2019-02-01,2019 in Indie Poptimism,pop,indie poptimism,0.229,0.915,10,-4.939,0,0.0762,0.0103,0.471,0.104,0.305,177.989,222760
Set On Fire,MAGIC GIANT,51,In The Wind,2017-05-19,Indie Poptimism,pop,indie poptimism,0.229,0.871,6,-4.558,1,0.103,0.0133,2.18E-06,0.266,0.395,86.965,215653
Classic (feat. POWERS) - POWERS Sunset Version,The Knocks,29,Classic (feat. POWERS) [Sunrise & Sunset Versions],2014-11-04,Indie Poptimism!,pop,indie poptimism,0.235,0.481,2,-8.212,1,0.0583,0.0299,1.44E-05,0.0539,0.0949,74.995,250748
Dame la Luna,Mar­a Barracuda,23,Dame la Luna,2019-04-05,ELECTROPOP EN ESPAOL,pop,electropop,0.238,0.656,5,-7.493,0,0.0364,5.98E-05,0,0.112,0.51,74.994,220275
Smile - EP Version,Janelle MonĦe,30,Metropolis: The Chase Suite (Special Edition),2008-08-12,This Is Janelle MonĦe,pop,electropop,0.242,0.0692,5,-17.157,1,0.0377,0.933,0,0.243,0.128,182.616,238640
